Switch;ID_Object;Nbr;IP;ID_Ring;ID_Equipment;Serial;MAC;ID_VLAN;ID_SFP ‰Îˇ 25 ÔÓÚ‡;ID_SFP ‰Îˇ 26 ÔÓÚ‡;InService;ID_TipPort ‰Îˇ 25 ÔÓÚ‡;ID_TipPort ‰Îˇ 26 ÔÓÚ‡;Switch ‰Îˇ LLDP 25 ÔÓÚ‡;Switch ‰Îˇ LLDP 26 ÔÓÚ‡;Proverka_NameSwitch;Data_oprosa_LLDP;Nomer_v_kolce;Port_na_DS;Port_DS_des
MDU_BRD00128_1888_1;MDU_BRD00128_1888;1;10.207.128.1;100;Huawei Quidway S2326;21023513666TB7028171;80fb-06c1-e6a1;1;H;N;»—“»Õ¿;F;C;ds1-zap36;MDU_BRD00128_1001_2;MDU_BRD00128_1001_1;05.02.2015;1;1;100
MDU_BRD00128_1001_2;MDU_BRD00128_1001;2;10.207.128.47;100;Huawei Quidway S2326;5,2;e024-7f1a-a508;6;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1001_1;MDU_BRD00128_1002_1;MDU_BRD00128_1001_2;05.02.2015;2;;
MDU_BRD00128_1002_1;MDU_BRD00128_1002;1;10.207.128.2;100;Huawei Quidway S2326;21023513666TB6012177;80fb-060b-0078;2;H;N;»—“»Õ¿;F;C;MDU_BRD00128_1001_2;MDU_BRD00128_1002_2;MDU_BRD00128_1002_1;05.02.2015;3;;
MDU_BRD00128_1002_2;MDU_BRD00128_1002;2;10.207.128.56;100;Huawei Quidway S2326;21023513666TD1007055;dcd2-fc56-3008;8;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1002_1;MDU_BRD00128_1003_1;MDU_BRD00128_1002_2;05.02.2015;4;;
MDU_BRD00128_1003_1;MDU_BRD00128_1003;1;10.207.128.3;100;Huawei Quidway S2326;21023513666TB6012181;80fb-060b-007c;3;H;H;»—“»Õ¿;F;F;MDU_BRD00128_1002_2;MDU_BRD00128_1004_2;MDU_BRD00128_1003_1;05.02.2015;5;;
MDU_BRD00128_1004_1;MDU_BRD00128_1004;1;10.207.128.4;100;Huawei Quidway S2326;21023513666TB6012160;80fb-060b-0067;4;H;N;»—“»Õ¿;F;C;MDU_BRD00128_1005_2;MDU_BRD00128_1004_2;MDU_BRD00128_1004_1;05.02.2015;7;;
MDU_BRD00128_1004_2;MDU_BRD00128_1004;2;10.207.128.57;100;Huawei Quidway S2326;21023513666TD1009951;dcd2-fc59-2adb;9;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1004_1;MDU_BRD00128_1003_1;MDU_BRD00128_1004_2;05.02.2015;6;;
MDU_BRD00128_1005_1;MDU_BRD00128_1005;1;10.207.128.5;100;Huawei Quidway S2326;21023513666TB6012169;80fb-060b-0070;5;H;N;»—“»Õ¿;F;C;ds2-zap36;MDU_BRD00128_1005_2;MDU_BRD00128_1005_1;05.02.2015;9;1;100
MDU_BRD00128_1005_2;MDU_BRD00128_1005;2;10.207.128.49;100;Huawei Quidway S2326;21023513666TCB008663;1047-800e-e9f9;7;N;H;»—“»Õ¿;C;F;MDU_BRD00128_1005_1;MDU_BRD00128_1004_1;MDU_BRD00128_1005_2;05.02.2015;8;;
MDU_BRD00128_1011_1;MDU_BRD00128_1011;1;10.207.128.6;101;Huawei Quidway S2326;21023513666TB6012140;80fb-060b-0053;1;H;H;»—“»Õ¿;F;F;ds1-zap36;MDU_BRD00128_1012_1;MDU_BRD00128_1011_1;05.02.2015;1;1;101
